id,fecha_venta,producto,cantidad,precio
1,2024-01-31,Monitor,1,80000
2,2024-03-20,Mouse,5,5000
3,2024-02-06,Auriculares,1,15000
4,2024-01-06,Monitor,3,80000
5,2024-03-21,Webcam,5,10000
6,2024-01-23,Webcam,3,10000
7,2024-01-08,Auriculares,4,15000
8,2024-02-21,Webcam,1,10000
9,2024-02-28,Auriculares,4,15000
10,2024-02-24,Mouse,5,5000
11,2024-03-26,Mouse,2,5000
12,2024-01-26,Webcam,3,10000
13,2024-02-06,Mouse,1,5000
14,2024-02-02,Mouse,3,5000
15,2024-01-05,Mouse,5,5000
16,2024-01-22,Teclado,2,12000
17,2024-03-02,Mouse,2,5000
18,2024-02-13,Auriculares,4,15000
19,2024-01-28,Mouse,2,5000
20,2024-02-11,Mouse,4,5000
21,2024-03-05,Monitor,2,80000
22,2024-01-31,Mouse,4,5000
23,2024-03-31,Monitor,1,80000
24,2024-02-28,Mouse,4,5000
25,2024-01-21,Webcam,5,10000
26,2024-01-24,Webcam,5,10000
27,2024-01-29,Mouse,4,5000
28,2024-03-22,Mouse,1,5000
29,2024-02-24,Auriculares,2,15000
30,2024-02-18,Teclado,2,12000
31,2024-01-30,Webcam,1,10000
32,2024-03-10,Mouse,4,5000
33,2024-03-15,Monitor,3,80000
34,2024-03-07,Teclado,5,12000
35,2024-02-12,Teclado,4,12000
36,2024-03-10,Webcam,2,10000
37,2024-02-17,Teclado,3,12000
38,2024-01-05,Teclado,3,12000
39,2024-03-17,Mouse,4,5000
40,2024-01-07,Mouse,1,5000
41,2024-01-04,Monitor,3,80000
42,2024-02-01,Webcam,2,10000
43,2024-03-01,Mouse,1,5000
44,2024-03-09,Monitor,4,80000
45,2024-02-03,Mouse,4,5000
46,2024-01-17,Auriculares,3,15000
47,2024-01-12,Webcam,4,10000
48,2024-01-21,Mouse,5,5000
49,2024-02-11,Teclado,3,12000
50,2024-02-16,Webcam,5,10000
